record_id,review_scope,ai_expected_product_class,ai_predicted_product_class,title,source_platform,source_page_url,creator,license_id,candidate_split,technical_decision,ai_decision,ai_procedure_relevance,ai_functional_step_visible,ai_visual_evidence,ai_uncertainty,sample_frame_paths,review_priority,prescreen_flags,reviewer_id,review_status,license_evidence_status,corrected_product_class,corrected_procedure_relevance,corrected_functional_step_visible,privacy_risk,safety_risk,correction_reason,final_decision,dataset_split,reviewed_at,bundle_video_path,bundle_frame_dir
vacuum-039,full_positive_review,Vacuum,Vacuum,Ultraman -ish Vacuum Cleaner Commercial,Internet Archive,https://archive.org/details/japanese-vacuum-cleaner-commercial,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Frames show a child using a vacuum cleaner, with close-ups of its internal mechanism labeled '自動回転チリ落し装置' (Automatic rotating dust ejection device), and footage of debris being sucked up and expelled.",,data_video/review/archive_candidate_frames/vacuum-039/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-039/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-039/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-039/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-039/sample_05.jpg,normal,,R1,completed,verified,Vacuum,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
vacuum-044,full_positive_review,Vacuum,Vacuum,Black & Decker Vacuum Cleaner Power Pro 1991 Commercial,Internet Archive,https://archive.org/details/black-decker-vacuum-cleaner-power-pro-1991-commercial,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"A handheld vacuum cleaner is shown being operated to clean a glass, demonstrating its suction function.",,data_video/review/archive_candidate_frames/vacuum-044/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-044/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-044/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-044/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-044/sample_05.jpg,normal,,R1,completed,verified,Vacuum,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
vacuum-053,full_positive_review,Vacuum,Vacuum,Best Vacuum Cleaner For Hardwood Floors,Internet Archive,https://archive.org/details/best-vacuum-cleaner-for-hardwood-floors,Archive contributor,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Multiple frames show vacuum cleaners in use or positioned for use on hardwood floors, including a cordless model and a red upright model actively cleaning a rug. The text in frames 1 and 2 explicitly promotes a vacuum cleaner for hardwood floors.",,data_video/review/archive_candidate_frames/vacuum-053/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-053/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-053/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-053/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-053/sample_05.jpg,normal,,R1,completed,verified,Vacuum,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
vacuum-058,full_positive_review,Vacuum,Vacuum,Samsung Jet™ Pet Vacuum Cleaner and Clean Station™ | Samsung UK,Internet Archive,https://archive.org/details/youtube-MGZnlbK30v4,Samsung UK,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show a vacuum cleaner head cleaning a couch and rug, and a hand emptying the dustbin into a cleaning station, demonstrating maintenance.",,data_video/review/archive_candidate_frames/vacuum-058/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-058/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-058/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-058/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-058/sample_05.jpg,normal,,R1,completed,verified,Vacuum,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
vacuum-060,full_positive_review,Vacuum,Vacuum,Energy efficient Digital Inverter Motor | The new Samsung Jet™ Vacuum Cleaner,Internet Archive,https://archive.org/details/youtube-QpDibOca3Tc,Samsung India,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Frames show a handheld vacuum cleaner being operated on a wooden floor, with a digital display on the handle, and a close-up of its motor components. The vacuum is actively cleaning a spill, demonstrating its use.",,data_video/review/archive_candidate_frames/vacuum-060/sample_01.jpg|data_video/review/archive_candidate_frames/vacuum-060/sample_02.jpg|data_video/review/archive_candidate_frames/vacuum-060/sample_03.jpg|data_video/review/archive_candidate_frames/vacuum-060/sample_04.jpg|data_video/review/archive_candidate_frames/vacuum-060/sample_05.jpg,normal,,R1,completed,verified,Vacuum,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
washing-030,full_positive_review,Washing Machine,Washing Machine,"Whirlpool Aqua Line AWM1850 Washer, Maintenance Wash on White Cottons 95 (Programme 2) (3/3)",Internet Archive,https://archive.org/details/youtube-jgiEcrlIpmA,0000158,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"A front-loading washing machine drum is visible, with a dark, wet interior and a handle on the left. A dark fabric item is briefly inserted and removed, suggesting a maintenance or cleaning action.",,data_video/review/archive_candidate_frames/washing-030/sample_01.jpg|data_video/review/archive_candidate_frames/washing-030/sample_02.jpg|data_video/review/archive_candidate_frames/washing-030/sample_03.jpg|data_video/review/archive_candidate_frames/washing-030/sample_04.jpg|data_video/review/archive_candidate_frames/washing-030/sample_05.jpg,normal,,R1,completed,verified,Washing Machine,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
washing-034,full_positive_review,Washing Machine,Washing Machine,Front Loading Washing Machine In Action,Internet Archive,https://archive.org/details/washingMachine2_201808,na5m,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Frames show the interior of a drum with clothes and water, with visible agitation and water splashing, consistent with a washing cycle in progress.",,data_video/review/archive_candidate_frames/washing-034/sample_01.jpg|data_video/review/archive_candidate_frames/washing-034/sample_02.jpg|data_video/review/archive_candidate_frames/washing-034/sample_03.jpg|data_video/review/archive_candidate_frames/washing-034/sample_04.jpg|data_video/review/archive_candidate_frames/washing-034/sample_05.jpg,normal,,R1,completed,verified,Washing Machine,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
washing-049,full_positive_review,Washing Machine,Washing Machine,LG Washer - Tub Cleaning and Maintenance,Internet Archive,https://archive.org/details/youtube-c8XiTdH9heQ,LG USA,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show a washing machine with instructions for tub cleaning, including adding cleaning products, selecting the 'Tub Clean' cycle, and leaving the door ajar to dry.",,data_video/review/archive_candidate_frames/washing-049/sample_01.jpg|data_video/review/archive_candidate_frames/washing-049/sample_02.jpg|data_video/review/archive_candidate_frames/washing-049/sample_03.jpg|data_video/review/archive_candidate_frames/washing-049/sample_04.jpg|data_video/review/archive_candidate_frames/washing-049/sample_05.jpg,normal,,R1,completed,verified,Washing Machine,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
washing-051,full_positive_review,Washing Machine,Washing Machine,LG Washer : How to repair Operation Issues | LG,Internet Archive,https://archive.org/details/youtube--5f6NURRjUs,LG Global,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,troubleshooting,yes,"Frames show an LG washing machine with on-screen text and graphics for troubleshooting: 'Power Down' (unplugging), 'Buttons Not Functioning' (deactivating Control Lock), 'Water is Not Filling Properly' (checking hoses), and 'Water Leaking or Not Draining Properly' (showing drain hose).",,data_video/review/archive_candidate_frames/washing-051/sample_01.jpg|data_video/review/archive_candidate_frames/washing-051/sample_02.jpg|data_video/review/archive_candidate_frames/washing-051/sample_03.jpg|data_video/review/archive_candidate_frames/washing-051/sample_04.jpg|data_video/review/archive_candidate_frames/washing-051/sample_05.jpg,normal,,R1,completed,verified,Washing Machine,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
washing-052,full_positive_review,Washing Machine,Washing Machine,Inside my new British washing machine (clothes washer).,Internet Archive,https://archive.org/details/bigclive_20170917,Big Clive,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,maintenance,yes,"Frames show the interior of a washing machine with the lid open, revealing the drum, motor, wiring, and internal components, consistent with maintenance or repair activity.",,data_video/review/archive_candidate_frames/washing-052/sample_01.jpg|data_video/review/archive_candidate_frames/washing-052/sample_02.jpg|data_video/review/archive_candidate_frames/washing-052/sample_03.jpg|data_video/review/archive_candidate_frames/washing-052/sample_04.jpg|data_video/review/archive_candidate_frames/washing-052/sample_05.jpg,normal,,R1,completed,verified,Washing Machine,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
washing-056,full_positive_review,Washing Machine,Washing Machine,How to select wash cycles on your Samsung Washing Machine,Internet Archive,https://archive.org/details/youtube-TngLsmls00c,Samsung UK,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,operation,yes,"Frames show a hand interacting with a washing machine's control panel, selecting wash cycles (e.g., 'Eco 40-60', 'Cotton'), adjusting water temperature, changing spin speed, and using a delay end feature. A smartphone app for cycle suggestions is also shown.",,data_video/review/archive_candidate_frames/washing-056/sample_01.jpg|data_video/review/archive_candidate_frames/washing-056/sample_02.jpg|data_video/review/archive_candidate_frames/washing-056/sample_03.jpg|data_video/review/archive_candidate_frames/washing-056/sample_04.jpg|data_video/review/archive_candidate_frames/washing-056/sample_05.jpg,normal,,R1,completed,verified,Washing Machine,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
washing-062,full_positive_review,Washing Machine,Washing Machine,LG Washer : How to repair Washing Machine Performance Issues | LG,Internet Archive,https://archive.org/details/youtube-S_7pnxpmFcU,LG Malaysia,OWNER-WRITTEN-AUTHORIZATION,development_candidate,pass,retain_for_human_review,troubleshooting,yes,"Frames show an LG washing machine with on-screen text and graphics addressing common issues like wrinkling (due to low spin speed or leaving laundry in the drum) and poor stain removal (due to set-in stains or mixing soiled items). Specific steps like adjusting spin speed, pre-treating stains, and separating laundry are visually indicated.",,data_video/review/archive_candidate_frames/washing-062/sample_01.jpg|data_video/review/archive_candidate_frames/washing-062/sample_02.jpg|data_video/review/archive_candidate_frames/washing-062/sample_03.jpg|data_video/review/archive_candidate_frames/washing-062/sample_04.jpg|data_video/review/archive_candidate_frames/washing-062/sample_05.jpg,normal,,R1,completed,verified,Washing Machine,yes,yes,none,none,,accept,development,2026-07-23T06:13:41.000Z,,
espresso-040,full_positive_review,Espresso Machine,Espresso Machine,Making Espresso with Modern Coffee Machine,,https://www.pexels.com/video/making-espresso-with-modern-coffee-machine-34780936/,Diego Castro Calderon,PEXELS-CONTENT-LICENSE,development_candidate,,retain_for_human_review,operation,yes,"A hand is seen interacting with the portafilter of a Ninja brand coffee machine, which is identifiable as an espresso machine by its design and portafilter mechanism. The action appears to be locking or unlocking the portafilter, a key operational step in preparing espresso.",,,normal,,R1,completed,verified,Espresso Machine,yes,yes,none,none,AI判断正确，视频为Ninja意式咖啡机制作浓缩咖啡的操作，包含安装手柄、锁止、按键启动萃取等完整使用步骤,accept,development,2026-07-23,items/espresso-040/video.mp4,items/espresso-040/frames
